d,greek,index,exact,mc,se,z
50,corr,745,0.01696893940334236,0.017148891562599383,0.0015650826078399576,0.11497933614212547
50,corr,746,0.024000947429393106,0.024431309433066303,0.0022088353501918327,0.19483661542985595
50,corr,747,0.02734748156264431,0.02771318276115131,0.002501809607713399,0.1461746718773077
50,corr,748,0.03902796955282545,0.03983693217218121,0.003579609145945715,0.22599188525149458
50,corr,749,0.0324805614098229,0.033110332042976004,0.002980045807723884,0.21132917873974252
50,corr,750,0.03527825512606255,0.036003378446180394,0.0032303116397927483,0.22447472596308568
50,corr,751,0.025806728498831342,0.02632301689490073,0.002363458495067969,0.2184461445575509
50,corr,752,0.02728776347169449,0.027970356155678486,0.002483720489933077,0.27482669114767794
50,corr,753,0.025406823827470344,0.026152912562370637,0.0023174055678053416,0.3219500053272344
50,corr,754,0.025579119072310582,0.026084427099406778,0.0023379048145039335,0.21613712584077752
50,corr,755,0.033901593028764075,0.0349373142644903,0.0031130265818699343,0.33270555470300195
50,corr,756,0.020990306753085212,0.021670918434516417,0.0019494002550718345,0.3491390132223636
50,corr,757,0.01743442508838634,0.01810593256444474,0.0016188365670631972,0.4148086902167095
50,corr,758,0.039480670310802435,0.04015288432827959,0.0036392897376848954,0.18471022257897485
50,corr,759,0.025571491766764775,0.026212228677802863,0.0023673927484981197,0.27065087170034346
50,corr,760,0.020238219450834406,0.02060584238041086,0.0007608560324332032,0.4831701582240215
50,corr,761,0.018182866763557588,0.018662630621700423,0.0006862750071320019,0.6990839723973151
50,corr,762,0.024247186387137038,0.024732485519457673,0.0009132655262052199,0.5313888659929374
50,corr,763,0.02764937208903767,0.028334864084949514,0.0010406031151238093,0.6587449008648064
50,corr,764,0.01833896897252828,0.018864877058393,0.0007039281934662664,0.7471047341846845
50,corr,765,0.030278006480087563,0.031178955895590225,0.0011366610219364587,0.7926280554318386
50,corr,766,0.03341962913141595,0.034275193588243706,0.0012507893107584324,0.6840196422121457
50,corr,767,0.02757180327211863,0.028330543017018744,0.0010370365309106044,0.7316422539463276
50,corr,768,0.03223745306737602,0.03310615573360513,0.001202947869587574,0.7221448977061191
50,corr,769,0.029531870758832596,0.03029883160752497,0.0011097776507567306,0.6910941558152679
50,corr,770,0.04067749324240249,0.0417208660314995,0.0015213277148813783,0.6858303959698552
50,corr,771,0.03324978916445489,0.03413074327909095,0.0012504290512275872,0.7045214710672303
50,corr,772,0.016056766053127256,0.016560147915807826,0.0005980103605165066,0.8417611063557409
50,corr,773,0.03350260724122503,0.03427555118987133,0.0012505142509800368,0.6181008717337984
50,corr,774,0.018278606228707417,0.018878950026615087,0.0006868091489899024,0.8741057086828303
50,corr,775,0.0203394134803972,0.020842782720807952,0.0007723694478626989,0.6517208077088982
50,corr,776,0.028768161762163468,0.02952547721837938,0.0010721563145201275,0.7063479885905137
50,corr,777,0.0327794048837608,0.033597637109617356,0.0012199182267544515,0.6707271093353815
50,corr,778,0.04677994252716313,0.04803623860837689,0.0017347952730218787,0.7241754117910361
50,corr,779,0.03893204830819869,0.03999629288393673,0.001444161873149248,0.7369288689343859
50,corr,780,0.042285436986980764,0.04345173034723625,0.0015737139970452803,0.7411088434399471
50,corr,781,0.030932618063960606,0.03174438221991742,0.0011497370714832554,0.706043299890792
50,corr,782,0.032707825221931774,0.033595286530750154,0.0012139392661675709,0.7310590682350294
50,corr,783,0.030453281891544816,0.031314990648122175,0.001135294803889914,0.7590176169439389
50,corr,784,0.03065979946711124,0.031478473035906285,0.001142397879513388,0.7166273532858484
50,corr,785,0.04063533388070004,0.041756493647173286,0.0015137765406379724,0.7406375620015463
50,corr,786,0.02515952930135879,0.025858218829139842,0.0009390679354614833,0.7440244751171267
50,corr,787,0.020897356766790845,0.021493582210660854,0.0007815590495486184,0.7628667906978405
50,corr,788,0.04732256146642162,0.04856307319500441,0.0017604061360821735,0.7046735995499158
50,corr,789,0.030650657179691267,0.031472002936587785,0.0011405986287788556,0.7201005999593963
50,corr,790,0.011747664668044827,0.012943470930550318,0.0006104660288965867,1.9588416159157982
50,corr,791,0.015665726341380016,0.0172199895277675,0.0008135107353205648,1.910562600965587
50,corr,792,0.017863825094677235,0.019656516770203258,0.000926481231425836,1.934946564181453
50,corr,793,0.011848519853796074,0.01305836164465209,0.0006126915685758931,1.9746343068962187
50,corr,794,0.01956214449406013,0.021563486992283384,0.0010168765061562412,1.9681273843057512
50,corr,795,0.021591897552324237,0.023743193130584594,0.0011133315888862125,1.9323044452664222
50,corr,796,0.017813709100224246,0.019621862285342767,0.0009228236585319163,1.959370209466715
50,corr,797,0.020828112162510768,0.02293251574354416,0.0010761315241140192,1.9555263774713332
50,corr,798,0.01908007792204296,0.021004676165255174,0.0009861632021392129,1.951602167914318
50,corr,799,0.026281089575278097,0.028925643472486627,0.0013583332846866178,1.9469109142964554
50,corr,800,0.0214821666168763,0.023644312246477464,0.00111025031824132,1.947439774686205
50,corr,801,0.01037402438780661,0.011424810217996855,0.000537338821891851,1.955536781226156
50,corr,802,0.02164550840596471,0.02383506272851744,0.001120631755562781,1.9538571093348478
50,corr,803,0.011809520432963719,0.013011162030285423,0.0006115183911693133,1.9650130146110376
50,corr,804,0.013140975634893045,0.014478550053899171,0.0006803701786750814,1.9659509792314107
50,corr,805,0.01858665753275543,0.020479845181006096,0.000963066786273357,1.9657906131063514
50,corr,806,0.02117825872014195,0.023337442262296493,0.001097292763401878,1.9677369742788977
50,corr,807,0.030223786223905553,0.03330390235580604,0.0015663651578728425,1.966410013922521
50,corr,808,0.025153385014154657,0.027709390605361615,0.0013025569054903223,1.9622985993420377
50,corr,809,0.027319956777134558,0.030096482164082002,0.0014149634897049335,1.9622593848880452
50,corr,810,0.01998507875823078,0.022024961559432156,0.0010352250523050638,1.9704727939681428
50,corr,811,0.021132012224737567,0.02329143381912968,0.0010952265857737098,1.9716665231118506
50,corr,812,0.019675387184837592,0.021685157454375856,0.0010197120696575056,1.970919369634698
50,corr,813,0.019808814947211918,0.021826948135212434,0.0010274916670978483,1.964135819904736
50,corr,814,0.02625385107376239,0.02894509493661907,0.0013598055277425766,1.979138787091442
50,corr,815,0.01625517677061733,0.0179230931166325,0.0008415330663387405,1.9819973958620267
50,corr,816,0.013501454030163266,0.014890320968890713,0.000699495094042282,1.9855277764728616
50,corr,817,0.030574363799148793,0.03368738425250404,0.0015831811349602289,1.9663071929122304
50,corr,818,0.01980290825888244,0.021829015562327064,0.0010246308194195384,1.9774022653275536
50,corr,819,0.014074746818101294,0.013810855226420095,0.0008548556483259951,-0.3086972545574917
50,corr,820,0.01604961110205872,0.01567433234499551,0.0009728068157559301,-0.38576904580134547
50,corr,821,0.010645208110837953,0.010353768260059945,0.0006440808201494386,-0.45248956599947915
50,corr,822,0.01757545261375708,0.017076178983571368,0.0010616564315647622,-0.4702779687867957
50,corr,823,0.01939906805141942,0.01893512025991098,0.0011732244992780233,-0.395446729755423
50,corr,824,0.01600458478677068,0.01558584530093535,0.000963631117642624,-0.4345433415015802
50,corr,825,0.018712851162988674,0.018235325971064087,0.0011274877570130295,-0.4235302680267316
50,corr,826,0.01714234374904459,0.016720818097876167,0.0010307142177384924,-0.40896462269949113
50,corr,827,0.023612035204445908,0.023039850721593442,0.0014250694175285236,-0.401513411076351
50,corr,828,0.019300481168124797,0.018817906945223825,0.0011661007192877064,-0.4138357990172102
50,corr,829,0.009320459425970283,0.00904485506552913,0.0005635557036384279,-0.489045463761251
50,corr,830,0.0194472342950553,0.01901849562493458,0.0011729625247951796,-0.3655177902598263
50,corr,831,0.010610169392408532,0.010280749172459929,0.0006475851047976212,-0.508690236245553
50,corr,832,0.011806404693500123,0.011526163036222342,0.0007157394655528146,-0.39154143478916803
50,corr,833,0.0166990341378096,0.01627853102599288,0.0010138226476000501,-0.414769893740434
50,corr,834,0.019027437543504656,0.018571255193620986,0.0011487708836372163,-0.39710472852455514
50,corr,835,0.02715431954548078,0.026457113259059094,0.0016421737472768465,-0.4245630449139953
50,corr,836,0.022598858040645643,0.022010618921843875,0.001367129477217481,-0.4302731589103112
50,corr,837,0.0245453971517395,0.0239009527338585,0.001482233188353539,-0.4347793740854267
50,corr,838,0.017955434528363762,0.01750357167788431,0.001086171291406586,-0.41601435616503135
50,corr,839,0.018985887748758028,0.018492202794110114,0.0011471406862725423,-0.43036129792594796
50,corr,840,0.01767719460560353,0.01719914518776621,0.001066268651046602,-0.44833862213625614
50,corr,841,0.017797071713948252,0.017342736618903926,0.0010753971059052282,-0.4224812327924993
50,corr,842,0.023587562990123778,0.022962376472505482,0.001423405436122926,-0.4392188632644114
50,corr,843,0.014604333852404453,0.014214474880313617,0.0008801856184019006,-0.4429281323622166
50,corr,844,0.012130273631094297,0.011797249151769575,0.0007312186487888507,-0.4554376175666809
50,corr,845,0.02746929317033077,0.026780630680042324,0.0016601198191996082,-0.41482697954926473
50,corr,846,0.017791764896954314,0.017333918475467232,0.0010744746374551828,-0.4261118927585481
50,corr,847,0.02140245082874603,0.02254315040228809,0.0015861045934492178,0.7191830716922901
50,corr,848,0.014195580298188841,0.01520366561373061,0.0010606079434131743,0.9504787530608332
50,corr,849,0.023437188475591238,0.02517029884741705,0.0017769736958573915,0.9753157156271721
50,corr,850,0.025869013115261404,0.027150862119950568,0.0019201874650779144,0.6675645102376246
