kind,sigma,T,K,greek,bs,ad,se,z_score
call,0.1,2.0,100.0,delta,0.7816616831625545,0.7812446332335383,0.00047634600342378854,-0.8755189001661667
call,0.1,2.0,100.0,vega,41.69183236457288,41.74894543360045,0.10946638116535054,0.5217407245910055
call,0.1,2.0,100.0,rho,133.50710696912572,133.42352534642683,0.0796460222708172,-1.04941364698274
call,0.1,2.0,120.0,delta,0.30453877653618744,0.3035242719081742,0.0005191869220531773,-1.9540257755362225
call,0.1,2.0,120.0,vega,49.503583140709814,49.343971267598015,0.09939300248426207,-1.6058662996630242
call,0.1,2.0,120.0,rho,55.797070161650225,55.609715198634326,0.09478306192399023,-1.9766713504797446
call,0.2,0.25,80.0,delta,0.9919454761084703,0.9919019835108218,0.00014116890024051397,-0.30808908742906443
call,0.2,0.25,80.0,vega,1.102542121187436,1.083951466354076,0.049264920032965516,-0.3773609055068026
call,0.2,0.25,80.0,rho,19.543312297792564,19.542959826857313,0.0020190569336679793,-0.17457206350829405
call,0.2,0.25,100.0,delta,0.5694601832076737,0.5695624492960321,0.0005387188121819485,0.1898320349055381
call,0.2,0.25,100.0,vega,19.644000472368965,19.672382700554152,0.0330699137167345,0.8582492360971751
call,0.2,0.25,100.0,rho,13.082755297791127,13.083949179288199,0.012322575604395874,0.09688571086110122
call,0.2,0.25,120.0,delta,0.04965422165668506,0.04964254019527723,0.0002427104446867981,-0.04812920771869652
call,0.2,0.25,120.0,vega,5.128315245315288,5.123724746192552,0.025659916773478158,-0.17889766218884054
call,0.2,0.25,120.0,rho,1.1914144539170357,1.1912854734017544,0.00582026506473888,-0.022160591286937367
call,0.2,1.0,80.0,delta,0.9286374026649281,0.9282179635175323,0.0003588712650060544,-1.1687732852859172
call,0.2,1.0,80.0,vega,13.627194363994361,13.559821163355167,0.09375777262606505,-0.7185878967912258
call,0.2,1.0,80.0,rho,68.27490482256506,68.25200487994356,0.023141512293608713,-0.9895611976850546
call,0.2,1.0,100.0,delta,0.6368306511756191,0.6368693723922881,0.0005763501731011736,0.06718349100285287
call,0.2,1.0,100.0,vega,37.524034691693785,37.51308276420126,0.07567410510324772,-0.1447249026279873
call,0.2,1.0,100.0,rho,53.232481545376345,53.23793281574371,0.047221537022556506,0.11544034165517864
call,0.2,1.0,120.0,delta,0.2871916379051271,0.28675466671103267,0.0005392743868577106,-0.8102947307410536
call,0.2,1.0,120.0,vega,34.073842277010165,34.07423540179873,0.07551908560703263,0.005205634912102318
call,0.2,1.0,120.0,rho,25.471686373951897,25.424307861347167,0.04749451330136592,-0.9975575979503253
call,0.2,2.0,80.0,delta,0.9004126353941782,0.9006753220267625,0.0004569571017778896,0.5748605975534499
call,0.2,2.0,80.0,vega,24.744357919569445,24.70211090752071,0.1374686018041721,-0.3073211736663975
call,0.2,2.0,80.0,rho,121.84207336865273,121.89202393649951,0.05281222930966017,0.945814416465879
call,0.2,2.0,100.0,delta,0.6896910267811551,0.6887514334735132,0.0006089789965624292,-1.542899365898913
