greek,K,T,exact,method,rmse,ci_lo,ci_hi,bias,std,ratio_to_best,ratio_ci_lo,ratio_ci_hi,best,tie_with_best,width_out,width_in,rmse_in_sample,width_at_grid_edge,grid_extended,width_base,rmse_base,lr_over_pwlr,lr_over_pwlr_lo,lr_over_pwlr_hi,parity_over_plain,parity_over_plain_lo,parity_over_plain_hi,parity_leg
gamma,90.0,0.1,0.013017131971891064,LR (parity),0.0008578632046033255,0.0007744004834285056,0.0009354543063593109,-3.338365978002844e-05,0.0008593645011291678,1.9808392175036271,1.7939324969359927,2.177714902428122,False,False,,,,,,,,4.82388591477587,4.287177453053234,5.436369336616686,0.19525579977983532,0.17139393596449562,0.22211549764002972,put
gamma,90.0,0.1,0.013017131971891064,Pathwise-LR,0.0009107875167341455,0.0008337948258691012,0.0009903174629988087,-6.771786276737801e-05,0.0009105458033514704,2.1030434949054144,1.831187027823349,2.426839989927976,False,False,,,,,,,,4.82388591477587,4.287177453053234,5.436369336616686,,,,
gamma,90.0,0.1,0.013017131971891064,Pathwise-LR (parity),0.00043308068470315146,0.00038852701613247806,0.00047890702660142987,-7.617016227283689e-06,0.00043410030627295706,1.0,1.0,1.0,True,False,,,,,,,,4.82388591477587,4.287177453053234,5.436369336616686,0.47550134004478856,0.41205848125543215,0.5460938793168679,put
gamma,90.0,0.1,0.013017131971891064,Smoothed AD,0.0005246891456034032,0.000474935901829707,0.0005745162863585353,0.0002079200897975983,0.0004829431708846378,1.2115274685201982,1.071455217880597,1.3808183592424068,False,False,0.3981071705534973,0.3981071705534973,0.0005246891456034032,False,False,,,4.82388591477587,4.287177453053234,5.436369336616686,,,,
digital delta,90.0,0.1,0.014463479968767854,"FD, CRN",0.0006158796629359961,0.0005527167989515297,0.0006774234660319955,0.00014417386170001122,0.0006002693338715506,1.2704966979541021,1.1070203625017532,1.4552256257685683,False,False,1.0,1.584893192461114,0.0005973844784513846,False,False,,,,,,,,,
digital delta,90.0,0.1,0.014463479968767854,Smoothed AD,0.000573205585070506,0.0005160713301652079,0.0006254272502482716,0.00020593271247391513,0.0005362782228945265,1.1824644437993228,1.0358288105278786,1.3448171486501275,False,False,0.3981071705534973,0.3981071705534973,0.000573205585070506,False,False,,,,,,,,,
digital delta,90.0,0.1,0.014463479968767854,LR,0.0008751369698850258,0.0007969861959595338,0.0009511516525507239,-5.525738205444518e-05,0.000875582412221139,1.805317982405974,1.5662784714892113,2.0887179496443657,False,False,,,,,,,,,,,,,,
digital delta,90.0,0.1,0.014463479968767854,LR (parity),0.00048475502842923983,0.000435582049260632,0.0005329696429176364,-9.154372011882898e-06,0.00048588481694449676,1.0,1.0,1.0,True,False,,,,,,,,,,,0.5539190379454844,0.4787625829297047,0.6384560764394894,put
gamma,100.0,0.1,0.06269313918221042,"FD, CRN",0.0010998384809185083,0.0010037916589070589,0.001196720183623132,-0.0007833240923167228,0.0007739788542586365,1.8263458301010769,1.6240334250482187,2.0575190414085953,False,False,2.5118864315095824,2.5118864315095824,0.0010998384809185083,False,False,,,3.6541757902517746,3.3144863928951023,4.011559561137441,,,,
gamma,100.0,0.1,0.06269313918221042,LR,0.002734416784512226,0.002482748575197565,0.0029860250481212663,-0.0001058670449074919,0.0027392232549441585,4.540658268277417,3.9804534145112798,5.2126034429966,False,False,,,,,,,,3.6541757902517746,3.3144863928951023,4.011559561137441,,,,
gamma,100.0,0.1,0.06269313918221042,LR (parity),0.0023446517232878967,0.002090496456950533,0.0026082084564852492,0.00014119177520944797,0.0023462696975407793,3.893430692013982,3.432104003531028,4.383392666008023,False,False,,,,,,,,3.6541757902517746,3.3144863928951023,4.011559561137441,0.8574595272264405,0.7417858887075218,0.9925983026316036,put
gamma,100.0,0.1,0.06269313918221042,Pathwise-LR,0.0007482991901502974,0.0006852626911520354,0.0008108972448273302,-6.247482275013903e-05,0.0007475578830058249,1.2425943711822807,1.117315206876978,1.3907148809627436,False,False,,,,,,,,3.6541757902517746,3.3144863928951023,4.011559561137441,,,,
gamma,100.0,0.1,0.06269313918221042,Pathwise-LR (parity),0.0006022071301017721,0.0005441475765990349,0.0006577383701083094,3.981895593857216e-05,0.0006023971196329587,1.0,1.0,1.0,True,False,,,,,,,,3.6541757902517746,3.3144863928951023,4.011559561137441,0.8047678495827553,0.7190546490515425,0.8950025865647738,put
gamma,100.0,0.1,0.06269313918221042,Smoothed AD,0.0011481722046468418,0.0010314313087218584,0.0012623833053249118,-0.00043357915133819216,0.001065827600231632,1.906606792338713,1.686824185489465,2.159717940226919,False,False,0.3981071705534973,0.3981071705534973,0.0011481722046468418,False,False,,,3.6541757902517746,3.3144863928951023,4.011559561137441,,,,
digital delta,100.0,0.1,0.06269313918221042,"FD, CRN",0.0011118023177702965,0.0010110822502391393,0.0012148825740080555,-0.0006715896922269381,0.0008882661554446798,1.719285541020264,1.515374598429809,1.9465262911685906,False,False,1.584893192461114,1.584893192461114,0.0011118023177702965,False,False,,,,,,,,,
digital delta,100.0,0.1,0.06269313918221042,Smoothed AD,0.0011488584870160772,0.0010360969975887757,0.0012610211468245013,-0.0004357941965543999,0.001065662905698271,1.7765890157221702,1.5678423969596513,2.0067876104305613,False,False,0.3981071705534973,0.3981071705534973,0.0011488584870160772,False,False,,,,,,,,,
digital delta,100.0,0.1,0.06269313918221042,LR,0.0006871492889879251,0.000626017521088999,0.0007459147453994392,-5.791273565747053e-05,0.0006864227131373445,1.062604222168368,0.94665800012143,1.1846209266099021,False,True,,,,,,,,,,,,,,
digital delta,100.0,0.1,0.06269313918221042,LR (parity),0.0006466653102372553,0.0005866124665748212,0.0007076749874537038,4.30260693210769e-05,0.0006468515016205554,1.0,1.0,1.0,True,False,,,,,,,,,,,0.9410841582761483,0.8441519191211594,1.0563477003214141,put
gamma,110.0,0.1,0.02379656009924989,"FD, CRN",0.0006066500525353381,0.0005534663288024345,0.0006602652999550526,0.00023050589019297962,0.0005625599428272863,1.0,1.0,1.0,True,False,2.5118864315095824,2.5118864315095824,0.0006066500525353381,False,False,,,2.1406635447374533,1.9401407362926781,2.373294058587404,,,,
gamma,110.0,0.1,0.02379656009924989,LR,0.0013170518795703164,0.0011988553121568002,0.0014391220273097395,-9.650419734584848e-05,0.0013168076951111183,2.171024092169837,1.9216315087938465,2.4453081413408047,False,False,,,,,,,,2.1406635447374533,1.9401407362926781,2.373294058587404,,,,
gamma,110.0,0.1,0.02379656009924989,LR (parity),0.0013170518795703164,0.0011988553121568002,0.0014391220273097395,-9.650419734584848e-05,0.0013168076951111183,2.171024092169837,1.9216315087938465,2.4453081413408047,False,False,,,,,,,,2.1406635447374533,1.9401407362926781,2.373294058587404,1.0,1.0,1.0,call
gamma,110.0,0.1,0.02379656009924989,Pathwise-LR,0.0006152540331749561,0.0005581520448382067,0.0006776963638689505,-8.704451710824581e-06,0.0006167362286562625,1.014182774078169,0.8939790959668091,1.1502738912634278,False,True,,,,,,,,2.1406635447374533,1.9401407362926781,2.373294058587404,,,,
gamma,110.0,0.1,0.02379656009924989,Pathwise-LR (parity),0.0006152540331749561,0.0005581520448382067,0.0006776963638689505,-8.704451710824581e-06,0.0006167362286562625,1.014182774078169,0.8939790959668091,1.1502738912634278,False,True,,,,,,,,2.1406635447374533,1.9401407362926781,2.373294058587404,1.0,1.0,1.0,call
gamma,110.0,0.1,0.02379656009924989,Smoothed AD,0.0006863880894128801,0.0006263269787180496,0.0007492967114886491,0.0003412602416971739,0.0005970362788945338,1.1314399241280824,1.102724677738177,1.1601055852602882,False,False,0.6309573444801934,0.6309573444801934,0.0006863880894128801,False,False,,,2.1406635447374533,1.9401407362926781,2.373294058587404,,,,
digital delta,110.0,0.1,0.021633236453863537,"FD, CRN",0.0005752967883061387,0.0005206127344792762,0.0006265086758473587,0.0001947120607804098,0.0005427027171648348,1.0413948365195465,0.9097065123743133,1.188105034969612,False,True,1.584893192461114,1.584893192461114,0.0005752967883061387,False,False,,,,,,,,,
digital delta,110.0,0.1,0.021633236453863537,Smoothed AD,0.000652382362398828,0.0005932715283251886,0.0007091171722938465,0.00036350738785550997,0.0005430836260355113,1.180934149900092,1.0312934808827978,1.3370379368079646,False,False,0.6309573444801934,0.6309573444801934,0.000652382362398828,False,False,,,,,,,,,
digital delta,110.0,0.1,0.021633236453863537,LR,0.0005524290769760703,0.0004999054373929984,0.0006072134935498517,-5.895928116005853e-06,0.0005537838076799705,1.0,1.0,1.0,True,False,,,,,,,,,,,,,,
digital delta,110.0,0.1,0.021633236453863537,LR (parity),0.0005524290769760703,0.0004999054373929984,0.0006072134935498517,-5.895928116005992e-06,0.0005537838076799704,1.0,0.9999999999999996,1.0000000000000002,False,True,,,,,,,,,,,1.0,0.9999999999999996,1.0000000000000002,call
